Island,FieldPeriodID,BreedGroupID,Status,BirdID,NSA_Birds,TerritoryNumber
CN,124,6468,NSA,3694,1,84
CN,124,6514,NSA,4941,1,21
CN,124,6518,NSA,5465,1,32
CN,124,6518,NSA,5846,1,32
CN,124,6518,NSA,6017,1,32
CN,124,6519,NSA,5658,1,30.2
CN,124,6521,NSA,6017,1,37
CN,124,6524,NSA,5291,1,45
CN,124,6524,NSA,5846,1,45
CN,124,6532,NSA,5584,1,58
CN,124,6536,NSA,1877,1,85
CN,124,6536,NSA,3596,1,85
CN,124,6536,NSA,5596,1,85
CN,124,6537,NSA,5291,1,88
CN,124,6545,NSA,6034,1,121
CN,124,6548,NSA,5854,1,130
CN,124,6550,NSA,3694,1,136
CN,125,6703,NSA,6064,1,68
CN,125,6704,NSA,6062,1,101
CN,125,6709,NSA,6062,1,65
CN,139,6802,NSA,6168,1,60.1
CN,139,6806,NSA,6168,1,64
CN,139,6809,NSA,6167,1,63
CN,139,6810,NSA,6064,1,101
CN,139,6824,NSA,6144,1,1.1
CN,139,6827,NSA,6016,1,6
CN,139,6830,NSA,6144,1,8
CN,139,6860,NSA,1042,1,46
CN,139,6877,NSA,6064,1,68
CN,139,6885,NSA,6167,1,85
CN,139,6893,NSA,6195,1,104
CN,139,6896,NSA,6064,1,122
CN,139,6899,NSA,6016,1,127
CN,142,7042,NSA,6183,1,93
CN,142,7051,NSA,6230,1,22
CN,142,7077,NSA,6230,1,23
CN,142,7158,NSA,6183,1,82.1
CN,144,7320,NSA,6187,1,8
CN,144,7338,NSA,5846,1,32
CN,144,7383,NSA,6294,1,78
CN,144,7385,NSA,3698,1,82.1
CN,144,7397,NSA,5600,1,94
CN,144,7409,NSA,6207,1,120
CN,144,7414,NSA,6294,1,127
CN,161,7623,NSA,5530,1,57.1
CN,161,7638,NSA,6563,1,18
CN,161,7651,NSA,5846,1,32
CN,161,7656,NSA,6174,1,34.5
CN,161,7665,NSA,5337,1,47.1
CN,161,7693,NSA,6670,1,85
CN,161,7710,NSA,6670,1,112
CN,161,7715,NSA,6294,1,122
CN,161,7715,NSA,6378,1,122
CN,161,7718,NSA,6294,1,127
CN,164,7803,NSA,6026,1,57.1
CN,166,7866,NSA,6668,1,1.1
CN,166,7868,NSA,6667,1,2
CN,166,7884,NSA,5846,1,32
CN,166,7909,NSA,6561,1,58
CN,166,7911,NSA,6780,1,63
CN,166,7923,NSA,5559,1,77.2
CN,166,7923,NSA,6758,1,77.2
CN,166,7932,NSA,6787,1,87
CN,166,7939,NSA,6788,1,110
CN,166,7942,NSA,6735,1,120
CN,166,7944,NSA,6739,1,122
CN,166,7946,NSA,6733,1,126
CN,167,7970,NSA,6842,1,86
CN,167,7995,NSA,6746,1,26
CN,167,8005,NSA,6841,1,77.2
CN,167,8009,NSA,6832,1,43
CN,167,8019,NSA,6677,1,47.1
CN,167,8029,NSA,6169,1,94.2
CN,167,8029,NSA,6850,1,94.2
CN,167,8029,NSA,6852,1,94.2
CN,167,8036,NSA,6703,1,33
CN,167,8053,NSA,6735,1,120
CN,171,8127,NSA,6677,1,47.1
CN,171,8157,NSA,6169,1,94.2
CN,171,8164,NSA,6735,1,120
CN,173,8180,NSA,6854,1,51.2
CN,173,8207,NSA,6842,1,87
CN,173,8219,NSA,7083,1,20
CN,173,8227,NSA,3456,1,126
CN,173,8232,NSA,6917,1,112
CN,173,8240,NSA,6857,1,1.3
CN,173,8243,NSA,6045,1,15
CN,173,8278,NSA,6774,1,92.1
