BirdID,Status,BreedGroupID,FieldPeriodID,NestWatchID,WatchDate,Month,Year,StartTime,Behaviour,ProvisioningVisit,ObsDuration,SexEstimate,Age,TerritoryID,ClutchSize,BroodSize,NoFledglings,WatchType,NestID,NestNumber,Island,Accurate,Observer,HelperNumber,GroupSize,TerritoryNumber
524,BrF,2299,21,594,13/07/1996,07,1996,10:48,F,3,60,0,1093,171,1,1,0,FI,1603,1,CN,TRUE,JK,1,3,114
530,BrF,2260,21,596,27/07/1996,07,1996,13:10,F,2,60,0,1107,104,1,1,0,FI,2179,1,CN,TRUE,PE,1,3,72
544,BrM,107,22,352,11/08/1997,08,1997,07:30,F,8,60,1,1482,159,1,1,0,FI,8,1,CN,TRUE,DR,0,3,103.1
544,BrM,436,28,1200,29/08/1999,08,1999,11:50,F,1,46,1,2230,159,1,1,1,FI,373,4,CN,TRUE,KB,0,2,103.1
557,BrM,387,28,1174,07/09/1999,09,1999,14:00,F,6,60,1,2236,57,1,1,1,F,455,2,CN,TRUE,MF,0,2,41
562,BrM,2085,19,677,13/07/1995,07,1995,16:16,F,13,90,1,716,13,1,1,1,F,2207,1,CN,TRUE,JK,1,4,8
562,BrM,2204,21,583,01/07/1996,07,1996,16:30,F,11,60,1,1070,13,1,1,0,F,1600,1,CN,TRUE,PE,1,3,8
596,BrF,193,25,367,21/07/1998,07,1998,10:55,F,1,60,0,1839,8,1,1,1,FI,254,1,CN,TRUE,KB,1,3,5
596,BrF,193,25,369,04/08/1998,08,1998,08:05,F,5,60,0,1853,8,1,1,1,F,254,1,CN,TRUE,KB,1,3,5
596,BrF,354,28,1198,27/08/1999,08,1999,15:40,F,6,60,0,2241,8,1,1,0,FI,473,4,CN,TRUE,KB,0,2,5
596,BrF,2082,19,667,26/07/1995,07,1995,08:30,F,9,90,0,748,8,1,1,0,FI,2206,1,CN,TRUE,JT,0,2,5
596,BrF,2082,19,679,28/07/1995,07,1995,09:00,F,41,90,0,750,8,1,1,0,F,2206,1,CN,TRUE,JK,0,2,5
597,BrM,200,25,379,29/08/1998,08,1998,11:05,F,11,60,1,1603,20,1,1,0,FI,171,3,CN,TRUE,KB,0,2,15
597,BrM,200,25,381,11/09/1998,09,1998,08:35,F,7,60,1,1616,20,1,1,0,F,171,3,CN,TRUE,KB,0,2,15
597,BrM,362,28,1186,30/08/1999,08,1999,08:30,F,2,60,1,1969,20,1,1,1,F,388,3,CN,TRUE,KB,1,4,15
597,BrM,362,28,1194,17/08/1999,08,1999,09:30,F,14,60,1,1956,20,1,1,1,FI,388,3,CN,TRUE,KB,1,4,15
604,BrF,217,25,391,09/08/1998,08,1998,15:10,F,8,60,0,1856,47,1,1,0,FI,223,3,CN,TRUE,DR,1,3,33
604,BrF,2103,19,659,04/08/1995,08,1995,15:30,F,25,90,0,755,47,1,1,1,F,2212,2,CN,TRUE,,1,3,33
607,BrM,228,25,402,27/08/1998,08,1998,12:20,F,10,60,1,1874,62,1,1,1,FI,242,3,CN,TRUE,DR,0,2,45
607,BrM,228,25,404,06/09/1998,09,1998,08:35,F,7,60,1,1884,62,1,1,1,F,242,3,CN,TRUE,SG,0,2,45
608,BrF,2112,19,649,02/09/1995,09,1995,11:33,F,15,60,0,783,59,2,1,0,F,2215,1,CN,TRUE,JK,1,4,42
609,BrM,37,22,353,08/08/1997,08,1997,14:05,F,11,90,1,1489,42,2,1,0,FI,41,1,CN,TRUE,KB,1,4,30.1
609,BrM,214,25,433,01/09/1998,09,1998,15:27,F,5,60,1,1878,42,1,1,1,F,216,2,CN,TRUE,KB,2,4,30.1
609,BrM,473,30,762,27/08/2003,08,2003,15:30,F,7,90,1,3699,42,2,1,1,F,743,2,CN,TRUE,CE,2,4,30.1
609,BrM,2221,21,600,25/07/1996,07,1996,14:40,F,12,60,1,1110,41,1,1,1,F,2169,1,CN,TRUE,PE,1,5,30
609,BrM,2221,21,1262,13/07/1996,07,1996,14:08,F,6,60,1,1098,41,1,1,1,F,2169,1,CN,TRUE,JK,1,5,30
628,BrF,62,22,341,27/07/1997,07,1997,14:33,F,21,90,0,1472,76,1,1,1,FI,76,1,CN,TRUE,KB,1,3,52
628,BrF,62,22,354,09/08/1997,08,1997,07:05,F,21,90,0,1485,76,1,1,1,F,76,1,CN,TRUE,KB,1,3,52
628,BrF,237,25,405,21/08/1998,08,1998,15:20,F,8,60,0,1862,76,2,1,0,FI,266,1,CN,TRUE,DD,0,3,52
628,BrF,237,25,406,23/08/1998,08,1998,09:36,F,3,60,0,1864,76,2,1,0,FI,266,1,CN,TRUE,KB,0,3,52
628,BrF,237,25,407,04/09/1998,09,1998,08:10,F,11,60,0,1876,76,2,1,0,F,266,1,CN,TRUE,KB,0,3,52
628,BrF,398,28,1183,04/08/1999,08,1999,16:40,F,9,60,0,2210,76,1,1,1,F,491,2,CN,TRUE,KB,0,3,52
628,BrF,398,28,1206,23/07/1999,07,1999,16:40,F,12,60,0,2198,76,1,1,1,FI,491,2,CN,TRUE,KB,0,3,52
628,BrF,2121,19,637,21/07/1995,07,1995,10:56,F,14,90,0,735,76,1,1,1,F,2217,1,CN,TRUE,JT,0,3,52
628,BrF,2245,21,624,07/08/1996,08,1996,15:30,F,15,60,0,1118,76,1,1,0,F,2890,2,CN,TRUE,PE,0,2,52
632,BrM,247,25,443,15/09/1998,09,1998,11:10,F,4,60,1,1887,90,1,1,0,FI,292,2,CN,TRUE,SG,0,3,60.1
634,BrM,116,22,361,18/08/1997,08,1997,09:10,F,7,60,1,1493,171,1,1,0,FI,21,2,CN,TRUE,KB,0,2,114
634,BrM,279,25,426,31/08/1998,08,1998,08:43,F,10,60,1,1871,171,1,1,0,FI,164,5,CN,TRUE,KB,1,3,114
634,BrM,279,25,427,01/09/1998,09,1998,09:58,F,6,60,1,1872,171,1,1,0,FI,164,5,CN,TRUE,KB,1,3,114
634,BrM,279,25,428,05/09/1998,09,1998,09:42,F,16,60,1,1876,171,1,1,0,FI,164,5,CN,TRUE,KB,1,3,114
634,BrM,442,28,1201,11/07/1999,07,1999,12:07,F,15,60,1,2185,171,1,1,1,FI,383,2,CN,TRUE,KB,2,4,114
634,BrM,2299,21,594,13/07/1996,07,1996,10:48,F,8,60,1,1092,171,1,1,0,FI,1603,1,CN,TRUE,JK,1,3,114
635,BrF,163,23,1272,07/02/1998,02,1998,10:50,F,10,60,0,1666,102,1,1,1,F,310,1,CN,TRUE,KB,0,2,70
636,BrM,163,23,1272,07/02/1998,02,1998,10:50,F,6,60,1,1666,102,1,1,1,F,310,1,CN,TRUE,KB,0,2,70
637,BrM,2260,21,596,27/07/1996,07,1996,13:10,F,7,60,1,1106,104,1,1,0,FI,2179,1,CN,TRUE,PE,1,3,72
638,BrF,264,25,422,07/09/1998,09,1998,09:10,F,9,60,0,1878,125,1,1,1,F,342,3,CN,TRUE,SG,1,3,85
639,BrF,434,28,534,20/08/1999,08,1999,09:05,F,9,60,0,1950,155,1,1,0,FI,368,2,CN,TRUE,MF,0,2,101.1
666,BrF,435,28,531,05/08/1999,08,1999,15:45,F,9,60,0,2206,157,1,1,1,FI,369,1,CN,TRUE,MF,0,2,102
670,BrF,415,28,1193,16/08/1999,08,1999,11:55,F,6,60,0,2215,105,1,1,0,FI,539,2,CN,TRUE,KB,0,2,73
674,BrM,99,22,347,05/08/1997,08,1997,15:35,F,4,60,1,1473,137,1,1,0,F,127,1,CN,TRUE,KO,0,2,93
674,BrM,268,25,423,04/09/1998,09,1998,16:35,F,4,60,1,1868,137,2,2,1,FI,351,1,CN,TRUE,SG,0,2,93
675,BrF,94,22,349,07/08/1997,08,1997,10:30,F,6,60,0,1475,129,1,1,0,FI,119,1,CN,TRUE,KO,0,2,88
774,BrF,261,25,1210,01/09/1998,09,1998,08:48,F,4,60,0,1537,117,2,2,0,FI,335,2,CN,TRUE,KB,0,2,82
774,BrF,261,25,1257,15/09/1998,09,1998,09:15,F,5,60,0,1551,117,2,2,0,F,335,2,CN,TRUE,SG,0,2,82
774,BrF,261,25,1259,31/08/1998,08,1998,08:22,F,1,60,0,1536,117,2,2,0,FI,335,2,CN,TRUE,DR,0,2,82
823,BrF,2085,19,677,13/07/1995,07,1995,16:16,F,24,90,0,416,13,1,1,1,F,2207,1,CN,TRUE,JK,1,4,8
