"","BirdID","Status","BreedGroupID","Mate","NoFeeds","FeedsPerHour","NestWatchID","WatchDate","Month","Year2","TerritoryID","ObsDuration","LastBTO","SexEstimate","TerritoryNumber","TQ","Observer","LastColourRing","Island","NoH","StartTime","NestNumber","SumOfFeedsPerHour","NestID","Helper01","TotalFeeds","TotalFeedsPerHour","ClutchSize","BroodSize","NoFledglings","X.UkUR","WatchType","TQcorrected","FieldPeriodID","FPID_Month","MonthlyInsects","AvgOfTQcorrected","TQc_Combined","AnnualInsects","No_M_H","No_F_H","GroupSize","MateID","TID","BGID","NID","NWID","Obs","Year","FeedsHour","LogFeedsPerHour","sqrtFeedsPerHour","NoOffspring"
"665","1763","BrF",4960,5204,7,7,792,2020-08-25,"8",2010,3,60,"P885904",0,2,0.232241865,"MH","BE/AX","CN",1,"09:54",1,28,2227,"1",28,28,1,1,1,0,"FI",33323.96114,104,"104_8",1454,NA,33323.96114,3.884601828,0,1,3,"5204","3","4960","2227","792","MH","2010",7,1.94591014905531,2.64575131106459,1
"666","1763","BrF",648,1287,10,10,77,2020-08-15,"8",2005,3,60,"P885904",0,2,0.232241865,"CE","BE/AX","CN",1,"14:50",1,26,1042,"1",26,26,1,1,1,0,"F",NA,37,"37_8",1219,16840.03813,16840.03813,3.849363578,0,1,5,"1287","3","648","1042","77","CE","2005",10,2.30258509299405,3.16227766016838,1
"667","1763","BrF",3762,2980,14,9.333333333,136,2020-08-11,"8",2006,3,90,"P885904",0,2,0.232241865,"CE","BE/AX","CN",2,"16:02",1,38,1436,"1",57,38,2,1,1,0,"F",7100.297684,75,"75_8",1111,NA,7100.297684,3.303207678,0,2,4,"2980","3","3762","1436","136","CE","2006",9.33333333333333,2.23359222150709,3.05505046324934,1
"672","1765","BrF",4989,1752,7,7,794,2020-08-26,"8",2010,47,60,"P885906",0,33,0.226870076,"MH","BL/AX","CN",1,"10:15",2,25,2273,"1",25,25,1,1,1,0,"FI",58547.20537,104,"104_8",1454,NA,58547.20537,3.884601828,0,1,4,"1752","47","4989","2273","794","MH","2010",7,1.94591014905531,2.64575131106459,1
"673","1765","BrF",5109,5513,7,7,871,2020-08-29,"8",2011,47,60,"P885906",0,33,0.226870076,"MH","BL/AX","CN",2,"15:35",2,40,2428,"1",40,40,1,1,1,5,"F",45210.0419,105,"105_8",3751,NA,45210.0419,9.032081704,0,2,4,"5513","47","5109","2428","871","MH","2011",7,1.94591014905531,2.64575131106459,1
"674","1765","BrF",3794,1752,10,10,153,2020-08-02,"8",2006,47,60,"P885906",0,33,0.226870076,"CE","BL/AX","CN",1,"16:08",1,27,1463,"1",27,27,1,1,1,0,"FI",13127.32726,75,"75_8",1111,NA,13127.32726,3.303207678,0,1,3,"1752","47","3794","1463","153","CE","2006",10,2.30258509299405,3.16227766016838,1
"675","1769","BrM",4534,2968,8,8,260,2020-08-28,"8",2008,55,60,"P885910",1,39,0.067398868,"ML","BO/AX","CN",0,"10:11",1,17,1871,"0",17,17,1,1,0,0,"F",1968.978341,87,"87_8",725,NA,1968.978341,2.779036475,0,0,3,"2968","55","4534","1871","260","ML","2008",8,2.07944154167984,2.82842712474619,1
"676","1771","BrF",448,1187,18,12,758,2020-08-23,"8",2003,5,90,"P885912",0,3.1,0.226680879,"CE","OE/AX","CN",0,"09:13",2,20.66666667,740,"0",31,20.66666667,2,2,2,0,"FI",9564.880463,30,"30_8",1209,NA,9564.880463,3.656860326,0,0,3,"1187","5","448","740","758","CE","2003",12,2.484906649788,3.46410161513775,2
"678","1772","BrF",3774,1729,11,7.333333333,129,2020-08-10,"8",2006,20,90,"P885913",0,15,0.225037958,"JC","YB/AX","CN",0,"09:50",1,24.66666667,1429,"0",37,24.66666667,1,1,1,5.405405405,"FI",13005.63798,75,"75_8",1111,NA,13005.63798,3.303207678,0,0,3,"1729","20","3774","1429","129","JC","2006",7.33333333333333,1.99243016469021,2.70801280148377,1
"679","1774","BrM",3814,3505,9,9,172,2020-08-14,"8",2006,72,60,"P885915",1,50.1,-0.104582554,"JC","WG/AX","CN",0,"08:20",1,14,1496,"0",14,14,1,1,1,0,"FI",10497.99839,75,"75_8",1111,NA,10497.99839,3.303207678,0,0,3,"3505","72","3814","1496","172","JC","2006",9,2.19722457733622,3,1
"680","1775","BrM",659,1753,12,8,91,2020-08-20,"8",2005,16,90,"P885916",1,11,-0.068464839,"KH","WB/AX","CN",1,"07:20",2,24,1018,"1",36,24,1,1,1,0,"FI",NA,37,"37_8",1219,12026.91982,12026.91982,3.849363578,1,0,3,"1753","16","659","1018","91","KH","2005",8,2.07944154167984,2.82842712474619,1
"681","1775","BrM",576,1753,13,8.666666667,39,2020-08-30,"8",2004,16,90,"P885916",1,11,-0.068464839,"CE","WB/AX","CN",0,"07:51",1,13.33333333,911,"0",20,13.33333333,1,1,1,0,"FI",12531.47438,34,"34_8",2164,NA,12531.47438,3.188410043,0,0,2,"1753","16","576","911","39","CE","2004",8.66666666666667,2.15948424935337,2.94392028883256,1
"682","1775","BrM",458,1753,14,9.333333333,766,2020-08-30,"8",2003,17,90,"P885916",1,12,-0.447474423,"CE","WB/AX","CN",0,"07:51",1,12.66666667,710,"0",19,12.66666667,2,2,2,0,"FI",7945.893734,30,"30_8",1209,NA,7945.893734,3.656860326,0,0,2,"1753","17","458","710","766","CE","2003",9.33333333333333,2.23359222150709,3.05505046324934,2
"683","1776","BrF",4247,1710,17,17,233,2020-08-29,"8",2007,77,60,"P885917",0,52.1,0.462961077,"PS","OG/AX","CN",0,"14:56",1,21,1751,"0",21,21,1,1,1,0,"F",19386.14976,82,"82_8",510,NA,19386.14976,2.855332926,0,0,4,"1710","77","4247","1751","233","PS","2007",17,2.83321334405622,4.12310562561766,1
"684","1778","BrF",3770,1607,22,14.66666667,195,2020-08-12,"8",2006,13,90,"P885919",0,8,0.230001951,"CE","GG/AX","CN",0,"11:05",1,26.66666667,1546,"0",40,26.66666667,1,1,0,0,"F",20596.49363,75,"75_8",1111,NA,20596.49363,3.303207678,0,0,3,"1607","13","3770","1546","195","CE","2006",14.6666666666667,2.68557734525015,3.82970843146055,1
"685","1779","BrF",3827,1196,15,15,184,2020-08-19,"8",2006,88,60,"P885920",0,59.1,-0.196527121,"CE","LR/AX","CN",0,"08:57",1,26,1514,"0",26,26,1,1,1,0,"F",11805.41112,75,"75_8",1111,NA,11805.41112,3.303207678,0,0,3,"1196","88","3827","1514","184","CE","2006",15,2.70805020110221,3.87298334620742,1
"686","1787","BrM",3786,1536,16,10.66666667,143,2020-08-03,"8",2006,36,90,"P885928",1,26.5,0.050249415,"KH","OV/AX","CN",1,"08:00",2,15.33333333,1446,"1",23,15.33333333,1,1,1,8.695652174,"FI",9666.786136,75,"75_8",1111,NA,9666.786136,3.303207678,0,1,3,"1536","36","3786","1446","143","KH","2006",10.6666666666667,2.36712361413162,3.26598632422121,1
"687","1787","BrM",3786,1536,17,11.33333333,144,2020-08-07,"8",2006,36,90,"P885928",1,26.5,0.050249415,"CE","OV/AX","CN",1,"14:15",2,28,1446,"1",42,28,1,1,1,0,"FI",9666.786136,75,"75_8",1111,NA,9666.786136,3.303207678,0,1,3,"1536","36","3786","1446","144","CE","2006",11.3333333333333,2.42774823594805,3.36650164562562,1
"688","1401","BrF",530,1788,0,0,713,2020-08-04,"8",2003,125,60,"N021957",0,85,0.219170472,"CE","RW/AX","CN",0,"07:55",1,1,846,"0",1,1,1,1,0,0,"FI",29162.95536,30,"30_8",1209,NA,29162.95536,3.656860326,0,0,3,"1788","125","530","846","713","CE","2003",0,-Inf,0,1
"689","1788","BrM",530,1401,1,1,713,2020-08-04,"8",2003,125,60,"P885929",1,85,0.219170472,"CE","OW/AX","CN",0,"07:55",1,1,846,"0",1,1,1,1,0,0,"FI",29162.95536,30,"30_8",1209,NA,29162.95536,3.656860326,0,0,3,"1401","125","530","846","713","CE","2003",1,0,1,1
"690","1788","BrM",732,1401,13,13,86,2020-08-30,"8",2005,125,60,"P885929",1,85,0.219170472,"CE","OW/AX","CN",1,"07:18",2,28,1165,"1",28,28,1,1,1,0,"FI",NA,37,"37_8",1219,20137.45816,20137.45816,3.849363578,1,0,4,"1401","125","732","1165","86","CE","2005",13,2.56494935746154,3.60555127546399,1
"691","1788","BrM",530,1401,18,12,748,2020-08-19,"8",2003,125,90,"P885929",1,85,0.219170472,"CE","OW/AX","CN",0,"17:06",2,21.33333333,3357,"0",32,21.33333333,1,1,0,0,"F",29162.95536,30,"30_8",1209,NA,29162.95536,3.656860326,0,0,3,"1401","125","530","3357","748","CE","2003",12,2.484906649788,3.46410161513775,1
"692","1788","BrM",622,1401,19,12.66666667,31,2020-08-19,"8",2004,125,90,"P885929",1,85,0.219170472,"CE","OW/AX","CN",0,"07:46",2,22.66666667,994,"0",34,22.66666667,1,1,1,2.941176471,"F",10833.23841,34,"34_8",2164,NA,10833.23841,3.188410043,0,0,3,"1401","125","622","994","31","CE","2004",12.6666666666667,2.53897387105828,3.55902608447873,1
"693","1788","BrM",622,1401,25,16.66666667,40,2020-08-26,"8",2004,125,90,"P885929",1,85,0.219170472,"LB","OW/AX","CN",0,"07:44",2,24,994,"0",36,24,1,1,1,0,"F",10833.23841,34,"34_8",2164,NA,10833.23841,3.188410043,0,0,3,"1401","125","622","994","40","LB","2004",16.6666666666667,2.81341071676004,4.08248290504688,1
"694","1790","BrF",4272,1731,2,2,241,2020-08-29,"8",2007,112,60,"P885931",0,78,-0.061008963,"PS","LG/AX","CN",1,"00:00",1,12,1778,"1",12,12,1,1,1,0,"FL",6278.297544,82,"82_8",510,NA,6278.297544,2.855332926,0,1,4,"1731","112","4272","1778","241","PS","2007",2,0.693147180559945,1.4142135623731,1
"695","1790","BrF",4576,1731,3,3,265,2020-08-26,"8",2008,112,60,"P885931",0,78,-0.061008963,"JC","LG/AX","CN",2,"15:12",2,16,1894,"1",16,16,1,1,0,0,"FI",2195.335872,87,"87_8",725,NA,2195.335872,2.779036475,1,1,5,"1731","112","4576","1894","265","JC","2008",3,1.09861228866811,1.73205080756888,1
"696","1790","BrF",3843,1731,5,3.333333333,193,2020-08-07,"8",2006,112,90,"P885931",0,78,-0.061008963,"KH","LG/AX","CN",1,"07:00",1,16.66666667,1543,"1",25,16.66666667,1,1,1,8,"FI",7539.859715,75,"75_8",1111,NA,7539.859715,3.303207678,0,1,3,"1731","112","3843","1543","193","KH","2006",3.33333333333333,1.20397280432594,1.82574185825927,1
"697","1791","BrF",3765,1509,20,20,158,2020-08-17,"8",2006,7,60,"P885932",0,4,-0.171895773,"CE","GL/AX","CN",0,"14:10",1,31,1472,"0",31,31,1,1,0,0,"F",21949.15728,75,"75_8",1111,NA,21949.15728,3.303207678,0,0,3,"1509","7","3765","1472","158","CE","2006",20,2.99573227355399,4.47213595499958,1
"698","1791","BrF",651,1509,24,16,93,2020-08-30,"8",2005,7,90,"P885932",0,4,-0.171895773,"KH","GL/AX","CN",0,"07:26",1,27.33333333,1081,"0",41,27.33333333,1,1,0,0,"FI",NA,37,"37_8",1219,14812.54604,14812.54604,3.849363578,0,0,3,"1509","7","651","1081","93","KH","2005",16,2.77258872223978,4,1
"699","1795","BrM",3775,1419,8,8,131,2020-08-17,"8",2006,22,60,"P885936",1,16,-0.030872841,"CE","RL/AX","CN",1,"09:27",1,28,1430,"1",28,28,2,2,2,0,"F",8923.077161,75,"75_8",1111,NA,8923.077161,3.303207678,0,1,4,"1419","22","3775","1430","131","CE","2006",8,2.07944154167984,2.82842712474619,2
"700","1795","BrM",661,1419,15,10,75,2020-08-13,"8",2005,22,90,"P885936",1,16,-0.030872841,"KH","RL/AX","CN",1,"07:18",1,20,1036,"1",30,20,1,1,1,0,"FI",NA,37,"37_8",1219,14586.53794,14586.53794,3.849363578,0,1,3,"1419","22","661","1036","75","KH","2005",10,2.30258509299405,3.16227766016838,1
"701","1801","BrM",5046,3451,12,12,834,2020-09-06,"9",2010,138,60,"P885943",1,94,-0.017306088,"SP","LE/AX","CN",1,"10:00",2,23,2345,"1",23,23,1,1,0,0,"FI",12517.6201,104,"104_9",1099,NA,12517.6201,3.884601828,1,0,3,"3451","138","5046","2345","834","SP","2010",12,2.484906649788,3.46410161513775,1
"702","1801","BrM",5161,3451,17,17,904,2020-08-27,"8",2011,138,60,"P885943",1,94,-0.017306088,"DJW","LE/AX","CN",1,"13:27",1,50,2504,"1",50,50,2,2,2,0,"FI",7070.698827,105,"105_8",3751,NA,7070.698827,9.032081704,0,1,3,"3451","138","5161","2504","904","DJW","2011",17,2.83321334405622,4.12310562561766,2
"703","1802","BrM",3819,1803,2,2,178,2020-08-22,"8",2006,79,60,"P885944",1,53,-0.180527253,"CE","VE/AX","CN",2,"14:38",1,17,1507,"1",17,17,1,1,0,0,"F",12269.7199,75,"75_8",1111,NA,12269.7199,3.303207678,1,1,4,"1803","79","3819","1507","178","CE","2006",2,0.693147180559945,1.4142135623731,1
"708","1803","BrF",3819,1802,10,10,178,2020-08-22,"8",2006,79,60,"P885945",0,53,-0.180527253,"CE","GN/AX","CN",2,"14:38",1,17,1507,"1",17,17,1,1,0,0,"F",12269.7199,75,"75_8",1111,NA,12269.7199,3.303207678,1,1,4,"1802","79","3819","1507","178","CE","2006",10,2.30258509299405,3.16227766016838,1
"711","1821","BrF",3799,1504,14,14,156,2020-08-29,"8",2006,54,60,"P885966",0,38,-0.183057869,"CE","NE/AX","CN",1,"15:50",1,39,1470,"1",39,39,1,1,1,0,"F",10962.89893,75,"75_8",1111,NA,10962.89893,3.303207678,1,0,3,"1504","54","3799","1470","156","CE","2006",14,2.63905732961526,3.74165738677394,1
"712","1823","BrM",3824,1491,5,5,180,2020-08-20,"8",2006,85,60,"P885968",1,57.1,-0.262566669,"CE","GB/AX","CN",1,"14:15",1,16,1511,"1",16,16,1,1,1,0,"F",11514.07173,75,"75_8",1111,NA,11514.07173,3.303207678,0,1,4,"1491","85","3824","1511","180","CE","2006",5,1.6094379124341,2.23606797749979,1
"713","1824","BrF",6733,6024,3,3,1505,2020-09-06,"9",2014,605,60,"P885969",0,27.1,-0.403539569,"KLB","EV/AX","CN",0,"14:38",2,8,3174,"0",8,8,1,1,0,0,"F",9385.481211,125,"125_9",2956,NA,9385.481211,4.287076423,0,0,2,"6024","605","6733","3174","1505","KLB","2014",3,1.09861228866811,1.73205080756888,1
"714","1824","BrF",6733,6024,5,5,1397,2020-08-31,"8",2014,605,60,"P885969",0,27.1,-0.403539569,"MB","EV/AX","CN",0,"13:28",2,16,3174,"0",16,16,1,1,0,0,"FI",9385.481211,125,"125_8",1437,NA,9385.481211,4.287076423,0,0,2,"6024","605","6733","3174","1397","MB","2014",5,1.6094379124341,2.23606797749979,1
"715","1824","BrF",4983,5220,16,16,781,2020-08-08,"8",2010,36,60,"P885969",0,26.5,0.050249415,"MH","EV/AX","CN",0,"15:38",1,32,2265,"0",32,32,1,1,1,9.375,"F",29518.99971,104,"104_8",1454,NA,29518.99971,3.884601828,0,0,2,"5220","36","4983","2265","781","MH","2010",16,2.77258872223978,4,1
"719","1826","BrF",6449,5780,5,5,1246,2020-02-16,"2",2014,9,60,"P885971",0,6,0.216688472,"HE","VV/AX","CN",0,"10:02",1,6,2859,"0",6,6,1,1,1,0,"F",46271.25337,124,"124_2",2347,NA,46271.25337,5.478684885,0,0,2,"5780","9","6449","2859","1246","HE","2014",5,1.6094379124341,2.23606797749979,1
"721","1826","BrF",5089,1499,9,9,906,2020-08-29,"8",2011,9,60,"P885971",0,6,0.216688472,"DJW","VV/AX","CN",2,"16:00",2,26,2398,"1",26,26,1,1,1,0,"F",107631.9279,105,"105_8",3751,NA,107631.9279,9.032081704,0,2,4,"1499","9","5089","2398","906","DJW","2011",9,2.19722457733622,3,1
"722","1826","BrF",4965,1499,10,10,838,2020-08-26,"8",2010,9,60,"P885971",0,6,0.216688472,"MH","VV/AX","CN",0,"08:02",2,19,2236,"0",19,19,1,1,1,0,"F",31581.2849,104,"104_8",1454,NA,31581.2849,3.884601828,0,0,3,"1499","9","4965","2236","838","MH","2010",10,2.30258509299405,3.16227766016838,1
"725","1826","BrF",4965,1499,15,15,831,2020-09-02,"9",2010,9,60,"P885971",0,6,0.216688472,"SP","VV/AX","CN",0,"12:10",2,25,2236,"0",25,25,1,1,1,0,"FL",31581.2849,104,"104_9",1099,NA,31581.2849,3.884601828,0,0,3,"1499","9","4965","2236","831","SP","2010",15,2.70805020110221,3.87298334620742,1
"726","1827","BrF",5000,4934,17,17,817,2020-08-09,"8",2010,61,60,"P885972",0,44,0.023817069,"SP","EW/AX","CN",0,"11:00",1,28,2287,"0",28,28,1,1,1,0,"F",13985.42349,104,"104_8",1454,NA,13985.42349,3.884601828,0,0,2,"4934","61","5000","2287","817","SP","2010",17,2.83321334405622,4.12310562561766,1
"727","1852","BrF",6139,5595,1,1,1158,2020-09-21,"9",2013,26,60,"R737504",0,20,0.092873751,"SAK","NV/AX","CN",1,"10:39",1,16,2757,"1",16,16,1,1,0,0,"FI",22774.32001,122,"122_9",1113,NA,22774.32001,3.248186294,0,1,3,"5595","26","6139","2757","1158","SAK","2013",1,0,1,1
"728","1852","BrF",6450,5595,7,7,1247,2020-02-16,"2",2014,26,60,"R737504",0,20,0.092873751,"FG","NV/AX","CN",0,"08:00",1,12,2860,"0",12,12,1,1,0,8.333333333,"FI",28731.80238,124,"124_2",2347,NA,28731.80238,5.478684885,0,0,3,"5595","26","6450","2860","1247","FG","2014",7,1.94591014905531,2.64575131106459,1
"729","1852","BrF",6450,5595,7,7,1255,2020-02-25,"2",2014,26,60,"R737504",0,20,0.092873751,"FG","NV/AX","CN",1,"08:30",1,27,2860,"1",27,27,1,1,0,3.703703704,"F",28731.80238,124,"124_2",2347,NA,28731.80238,5.478684885,0,1,3,"5595","26","6450","2860","1255","FG","2014",7,1.94591014905531,2.64575131106459,1
"732","1854","BrF",677,1029,21,14,82,2020-08-21,"8",2005,43,90,"R737506",0,30.2,-0.196743174,"AK","WV/NX","CN",1,"14:50",2,24.66666667,1065,"1",37,24.66666667,2,1,1,0,"FI",NA,37,"37_8",1219,10742.95836,10742.95836,3.849363578,0,1,3,"1029","43","677","1065","82","AK","2005",14,2.63905732961526,3.74165738677394,1
"733","1854","BrF",3791,1029,21,14,152,2020-08-24,"8",2006,43,90,"R737506",0,30.2,-0.196743174,"CE","WV/NX","CN",0,"10:45",1,24,1458,"0",36,24,1,1,1,0,"F",13273.69762,75,"75_8",1111,NA,13273.69762,3.303207678,0,0,3,"1029","43","3791","1458","152","CE","2006",14,2.63905732961526,3.74165738677394,1
"736","1857","BrF",6438,5453,7,7,1229,2020-02-12,"2",2014,28,60,"R737509",0,22,-0.204625821,"HE","WN/NX","CN",1,"11:06",1,16,2842,"1",16,16,2,2,2,0,"FI",10811.80619,124,"124_2",2347,NA,10811.80619,5.478684885,0,1,3,"5453","28","6438","2842","1229","HE","2014",7,1.94591014905531,2.64575131106459,2
"737","1861","BrM",26,172,1,1,357,2019-08-12,"8",1997,22,60,"VE80198",1,16,-0.030872841,"DR","RN/RX","CN",0,"14:45",1,8,25,"0",8,8,1,1,0,0,"FI",73456.58506,22,"22_8",1134,NA,73456.58506,6.349060431,0,0,2,"172","22","26","25","357","DR","1997",1,0,1,1
"743","1868","BrM",6430,4973,2,2,1226,2020-02-09,"2",2014,46,60,"R737516",1,32.5,0.198885405,"HE","YW/AX","CN",0,"08:23",1,9,2834,"0",9,9,1,1,1,0,"F",29953.92528,124,"124_2",2347,NA,29953.92528,5.478684885,0,0,3,"4973","46","6430","2834","1226","HE","2014",2,0.693147180559945,1.4142135623731,1
"746","1868","BrM",6680,4973,5,5,1509,2020-09-30,"9",2014,46,60,"R737516",1,32.5,0.198885405,"KLB","YW/AX","CN",2,"07:14",3,30,3234,"1",30,30,1,1,0,0,"F",30550.7601,125,"125_9",2956,NA,30550.7601,4.287076423,1,1,4,"4973","46","6680","3234","1509","KLB","2014",5,1.6094379124341,2.23606797749979,1
"747","1868","BrM",5336,4973,6,6,1054,2020-09-03,"9",2012,46,60,"R737516",1,32.5,0.198885405,"VS","YW/AX","CN",1,"07:46",2,12,2637,"1",12,12,1,1,1,0,"FI",25568.17722,116,"116_9",1250,NA,25568.17722,4.048605441,0,1,3,"4973","46","5336","2637","1054","VS","2012",6,1.79175946922805,2.44948974278318,1
"748","1868","BrM",5336,4973,6,6,1057,2020-09-09,"9",2012,46,60,"R737516",1,32.5,0.198885405,"VS","YW/AX","CN",1,"07:38",2,24,2637,"1",24,24,1,1,1,8.333333333,"F",25568.17722,116,"116_9",1250,NA,25568.17722,4.048605441,0,1,3,"4973","46","5336","2637","1057","VS","2012",6,1.79175946922805,2.44948974278318,1
"749","1868","BrM",4988,4973,9,9,814,2020-08-05,"8",2010,46,60,"R737516",1,32.5,0.198885405,"SP","YW/AX","CN",0,"14:50",1,27,2271,"0",27,27,1,1,1,0,"FI",26661.25857,104,"104_8",1454,NA,26661.25857,3.884601828,0,0,3,"4973","46","4988","2271","814","SP","2010",9,2.19722457733622,3,1
"750","1869","BrM",4791,3695,1,1,1321,2020-07-15,"7",2009,154,60,"R737517",1,101,0.00224005,"MH","RN/AX","CN",0,"12:30",1,17,2063,"0",17,17,1,1,1,5.882352941,"FL",17106.89782,92,"92_7",1851,NA,17106.89782,4.404908722,0,0,2,"3695","154","4791","2063","1321","MH","2009",1,0,1,1
"751","1789","BrF",3861,1869,0,0,119,2020-08-11,"8",2006,154,90,"P885930",0,101,0.00224005,"CE","BW/AX","CN",0,"07:58",1,4,1407,"0",6,4,1,1,1,0,"FI",16222.2995,75,"75_8",1111,NA,16222.2995,3.303207678,0,0,2,"1869","154","3861","1407","119","CE","2006",0,-Inf,0,1
"752","1869","BrM",3861,1789,6,4,119,2020-08-11,"8",2006,154,90,"R737517",1,101,0.00224005,"CE","RN/AX","CN",0,"07:58",1,4,1407,"0",6,4,1,1,1,0,"FI",16222.2995,75,"75_8",1111,NA,16222.2995,3.303207678,0,0,2,"1789","154","3861","1407","119","CE","2006",4,1.38629436111989,2,1
"753","1869","BrM",5163,5324,11,11,895,2020-08-10,"8",2011,154,60,"R737517",1,101,0.00224005,"DJW","RN/AX","CN",1,"14:00",1,26,2506,"1",26,26,1,1,1,0,"F",9324.308178,105,"105_8",3751,NA,9324.308178,9.032081704,0,1,3,"5324","154","5163","2506","895","DJW","2011",11,2.39789527279837,3.3166247903554,1
"754","1869","BrM",4791,3695,13,13,1303,2020-07-10,"7",2009,154,60,"R737517",1,101,0.00224005,"MH","RN/AX","CN",0,"11:00",1,34,2063,"0",34,34,1,1,1,0,"FL",17106.89782,92,"92_7",1851,NA,17106.89782,4.404908722,0,0,2,"3695","154","4791","2063","1303","MH","2009",13,2.56494935746154,3.60555127546399,1
"756","1869","BrM",5048,5324,15,15,830,2020-09-01,"9",2010,154,60,"R737517",1,101,0.00224005,"SP","RN/AX","CN",0,"11:15",1,22,2347,"0",22,22,1,1,1,0,"FI",10979.83288,104,"104_9",1099,NA,10979.83288,3.884601828,0,0,3,"5324","154","5048","2347","830","SP","2010",15,2.70805020110221,3.87298334620742,1
"757","1869","BrM",5048,5324,22,22,835,2020-09-06,"9",2010,154,60,"R737517",1,101,0.00224005,"SP","RN/AX","CN",0,"11:26",1,32,2347,"0",32,32,1,1,1,0,"FI",10979.83288,104,"104_9",1099,NA,10979.83288,3.884601828,0,0,3,"5324","154","5048","2347","835","SP","2010",22,3.09104245335832,4.69041575982343,1
"758","1877","BrM",5367,3596,8,8,1063,2020-08-27,"8",2012,125,60,"R737525",1,85,0.219170472,"SAK","RY/AX","CN",0,"11:59",1,35,2671,"0",35,35,1,1,1,0,"FL",11245.14039,116,"116_8",1183,NA,11245.14039,4.048605441,0,0,5,"3596","125","5367","2671","1063","SAK","2012",8,2.07944154167984,2.82842712474619,1
"760","1881","BrM",5006,5224,7,7,833,2020-09-06,"9",2010,70,60,"R737531",1,49,0.138110104,"SP","BN/NX","CN",0,"08:30",3,18,2296,"0",18,18,1,1,0,0,"F",27706.02191,104,"104_9",1099,NA,27706.02191,3.884601828,0,0,2,"5224","70","5006","2296","833","SP","2010",7,1.94591014905531,2.64575131106459,1
"761","1881","BrM",6740,1716,8,8,1414,2020-07-27,"7",2014,70,60,"R737531",1,49,0.138110104,"KLB","BN/NX","CN",0,"09:15",1,21,3162,"0",21,21,1,1,1,9.523809524,"FI",7225.497311,125,"125_7",1576,NA,7225.497311,4.287076423,0,0,2,"1716","70","6740","3162","1414","KLB","2014",8,2.07944154167984,2.82842712474619,1
"762","1886","BrM",737,1429,6,4,78,2020-08-16,"8",2005,134,90,"R737533",1,92,-0.351689177,"CE","EG/NX","CN",0,"14:35",1,14.66666667,1175,"0",22,14.66666667,1,1,1,0,"F",NA,37,"37_8",1219,8775.162375,8775.162375,3.849363578,0,0,3,"1429","134","737","1175","78","CE","2005",4,1.38629436111989,2,1
"763","1886","BrM",4785,4868,10,10,997,2020-08-21,"8",2009,134,60,"R737533",1,92,-0.351689177,"LAB","EG/NX","CN",0,"13:59",3,21,2056,"0",21,21,1,1,1,9.523809524,"FI",15938.07698,92,"92_8",2372,NA,15938.07698,4.404908722,0,0,2,"4868","134","4785","2056","997","LAB","2009",10,2.30258509299405,3.16227766016838,1
"771","2959","BrF",4996,5321,8,8,783,2020-08-09,"8",2010,57,60,"R737537",0,41,-0.101855235,"MH","BB/GX","CN",0,"11:39",1,23,2282,"0",23,23,1,1,1,4.347826087,"F",19264.39954,104,"104_8",1454,NA,19264.39954,3.884601828,0,0,2,"5321","57","4996","2282","783","MH","2010",8,2.07944154167984,2.82842712474619,1
"775","2960","BrM",5087,5267,10,10,862,2020-08-17,"8",2011,2,60,"R737538",1,1.1,0.044755163,"MH","BB/LX","CN",1,"08:13",1,30,2394,"1",30,30,1,1,1,0,"FI",70720.52249,105,"105_8",3751,NA,70720.52249,9.032081704,0,1,4,"5267","2","5087","2394","862","MH","2011",10,2.30258509299405,3.16227766016838,1
"776","2960","BrM",5359,5267,10,10,1038,2020-08-20,"8",2012,2,60,"R737538",1,1.1,0.044755163,"VS","BB/LX","CN",1,"06:50",2,16,2650,"1",16,16,1,1,0,0,"FI",45617.02101,116,"116_8",1183,NA,45617.02101,4.048605441,0,1,5,"5267","2","5359","2650","1038","VS","2012",10,2.30258509299405,3.16227766016838,1
"777","2962","BrM",3778,1506,7,7,135,2020-08-30,"8",2006,25,60,"R737542",1,19,-0.081292776,"CE","BE/LX","CN",1,"15:00",2,26,1435,"1",26,26,2,2,2,0,"F",10732.59094,75,"75_8",1111,NA,10732.59094,3.303207678,0,1,4,"1506","25","3778","1435","135","CE","2006",7,1.94591014905531,2.64575131106459,2
"781","2966","BrM",6148,5630,5,5,1125,2020-08-30,"8",2013,24,60,"R737543",1,18,-0.055529623,"LMG","BE/OX","CN",0,"08:40",1,16,2764,"0",16,16,1,1,0,0,"FI",40327.94846,122,"122_8",2045,NA,40327.94846,3.248186294,0,0,2,"5630","24","6148","2764","1125","LMG","2013",5,1.6094379124341,2.23606797749979,1
"782","2966","BrM",6148,5630,5,5,1141,2020-09-04,"9",2013,24,60,"R737543",1,18,-0.055529623,"LMG","BE/OX","CN",0,"09:30",1,15,2764,"0",15,15,1,1,0,0,"F",40327.94846,122,"122_9",1113,NA,40327.94846,3.248186294,0,0,2,"5630","24","6148","2764","1141","LMG","2013",5,1.6094379124341,2.23606797749979,1
"785","2966","BrM",6664,5630,13,13,1475,2020-09-22,"9",2014,24,60,"R737543",1,18,-0.055529623,"SAK","BE/OX","CN",0,"15:11",2,33,3197,"0",33,33,1,1,1,9.090909091,"F",14053.26025,125,"125_9",2956,NA,14053.26025,4.287076423,0,0,2,"5630","24","6664","3197","1475","SAK","2014",13,2.56494935746154,3.60555127546399,1
