BirdID,Status,BreedGroupID,NestWatchID,WatchDate,Month,Year,StartTime,Behaviour,ProvisioningVisit,ObsDuration,SexEstimate,Age,TerritoryID,TQ,TQcorrected,ClutchSize,BroodSize,NoFledglings,WatchType,NestID,NestNumber,Island,FieldPeriodID,HelperNumber,AdditionalBirds,GroupSize,Accurate,Observer
5608,BrF,6414,1254,24/02/2014,02,2014,08:15,FeedingOffspring,11,60,0,1209,95,47785.63,47785.63,1,1,0,F,2815,1,CN,124,0,0,2,TRUE,FG
5611,BrF,7078,1538,31/07/2015,07,2015,14:36,FeedingOffspring,3,60,0,1729,46,22786.57,22786.57,1,1,0,FI,3504,1,CN,142,0,0,2,TRUE,KLB
5612,BrM,5338,1055,03/09/2012,09,2012,09:01,FeedingOffspring,12,60,1,664,479,14325.46,14325.46,2,2,2,F,2608,1,CN,116,1,0,3,TRUE,VS
5612,BrM,5338,1065,28/08/2012,08,2012,12:01,FeedingOffspring,10,60,1,658,479,14325.46,14325.46,2,2,2,FI,2608,1,CN,116,1,0,3,TRUE,SAK
5612,BrM,6135,1121,30/08/2013,08,2013,09:21,FeedingOffspring,7,60,1,1025,479,59841.34,59841.34,1,1,1,F,2743,1,CN,122,0,2,4,TRUE,MB
5612,BrM,6685,1342,17/07/2014,07,2014,08:06,FeedingOffspring,3,60,1,1346,479,32451.94,32451.94,1,1,1,FI,3097,1,CN,125,0,0,2,TRUE,MB
5612,BrM,6685,1365,27/07/2014,07,2014,07:43,FeedingOffspring,7,60,1,1356,479,32451.94,32451.94,1,1,1,F,3097,1,CN,125,0,0,2,TRUE,MB
5612,BrM,7047,1564,28/08/2015,08,2015,15:49,FeedingOffspring,8,60,1,1753,479,30843.33,30843.33,1,1,1,FI,3618,2,CN,142,1,0,3,TRUE,KLB
5612,BrM,7047,1568,05/09/2015,09,2015,11:00,FeedingOffspring,9,60,1,1761,479,30843.33,30843.33,1,1,1,F,3618,2,CN,142,1,0,3,TRUE,SRP
5612,BrM,7592,2455,24/08/2016,08,2016,14:27,FeedingOffspring,6,60,1,2115,479,23785.20,23785.20,1,1,1,F,4855,1,CN,159,1,0,3,TRUE,CD
5612,BrM,7742,2499,11/07/2017,07,2017,15:37,FeedingOffspring,7,60,1,2436,479,92068.02,92068.02,1,1,1,F,4915,1,CN,164,1,0,3,TRUE,CD
5612,BrM,7984,2569,24/07/2018,07,2018,15:33,FeedingOffspring,1,60,1,2814,479,17837.56,17837.56,1,1,1,F,5123,1,CN,167,1,1,4,TRUE,TJB
5612,BrM,7984,2579,18/07/2018,07,2018,11:47,FeedingOffspring,1,60,1,2808,479,17837.56,17837.56,1,1,1,F,5123,1,CN,167,1,1,4,TRUE,AVE
5613,BrF,6712,1485,22/08/2014,08,2014,13:50,FeedingOffspring,15,60,0,1512,58,27662.66,27662.66,1,1,1,F,3128,1,CN,125,0,0,2,TRUE,KLB
5613,BrF,7085,1566,04/09/2015,09,2015,10:55,FeedingOffspring,5,60,0,1890,58,15086.23,15086.23,1,1,1,FI,3589,2,CN,142,2,0,4,TRUE,KLB
5613,BrF,7085,1593,05/09/2015,09,2015,14:51,FeedingOffspring,6,60,0,1891,58,15086.23,15086.23,1,1,1,F,3589,2,CN,142,2,0,4,TRUE,MPD
5613,BrF,7085,1639,09/09/2015,09,2015,12:05,FeedingOffspring,9,60,0,1895,58,15086.23,15086.23,1,1,1,F,3589,2,CN,142,2,0,4,TRUE,FG
5613,BrF,7085,1660,05/08/2015,08,2015,14:51,FeedingOffspring,6,60,0,1860,58,15086.23,15086.23,1,1,0,FI,3511,1,CN,142,2,0,4,TRUE,MPD
5620,BrM,5080,901,19/08/2011,08,2011,11:23,FeedingOffspring,6,60,1,290,8,127327.12,127327.12,1,1,1,F,2396,2,CN,105,1,1,4,TRUE,DJW
5620,BrM,6428,1223,05/02/2014,02,2014,10:55,FeedingOffspring,3,60,1,1191,481,33858.90,33858.90,1,1,1,F,2832,1,CN,124,1,0,3,TRUE,FG
5620,BrM,6719,1467,02/09/2014,09,2014,16:08,FeedingOffspring,9,60,1,1400,481,26887.43,26887.43,1,1,1,F,3144,2,CN,125,2,0,4,TRUE,SAK
5620,BrM,6719,1497,29/08/2014,08,2014,16:37,FeedingOffspring,9,60,1,1396,481,26887.43,26887.43,1,1,1,F,3144,2,CN,125,2,0,4,TRUE,KLB
5625,BrF,6128,1146,10/09/2013,09,2013,07:05,FeedingOffspring,5,60,0,1033,112,25237.62,25237.62,1,1,1,F,2750,1,CN,122,0,0,2,TRUE,MB
5625,BrF,6411,1242,14/02/2014,02,2014,08:15,FeedingOffspring,2,60,0,1190,112,21388.76,21388.76,1,1,0,FI,2812,1,CN,124,1,0,3,TRUE,FG
5625,BrF,6411,1253,22/02/2014,02,2014,09:05,FeedingOffspring,9,60,0,1198,112,21388.76,21388.76,1,1,0,FI,2812,1,CN,124,1,0,3,TRUE,FG
5625,BrF,6730,1400,27/08/2014,08,2014,14:05,FeedingOffspring,8,60,0,1384,112,6565.39,6565.39,1,1,1,F,3151,1,CN,125,1,1,4,TRUE,MB
5625,BrF,6730,1466,02/09/2014,09,2014,14:19,FeedingOffspring,7,60,0,1390,112,6565.39,6565.39,1,1,1,F,3151,1,CN,125,1,1,4,TRUE,SAK
5626,BrM,6109,1117,28/08/2013,08,2013,08:00,FeedingOffspring,12,61,1,1010,77,13995.01,13995.01,1,1,1,FI,2725,1,CN,122,2,0,4,TRUE,MB
5626,BrM,6700,1380,13/08/2014,08,2014,13:10,FeedingOffspring,3,60,1,1360,77,10972.31,10972.31,1,1,1,F,3113,1,CN,125,2,0,4,TRUE,MB
5626,BrM,6700,1482,19/08/2014,08,2014,13:56,FeedingOffspring,6,60,1,1366,77,10972.31,10972.31,1,1,1,F,3113,1,CN,125,2,0,4,TRUE,KLB
5626,BrM,7522,2406,19/07/2016,07,2016,10:53,FeedingOffspring,7,60,1,2066,77,95827.05,95827.05,1,1,1,FI,4775,1,CN,159,0,0,2,TRUE,SRP
5630,BrF,6664,1475,22/09/2014,09,2014,15:11,FeedingOffspring,17,60,0,1270,24,15725.56,15725.56,1,1,1,F,3197,2,CN,125,0,0,2,TRUE,SAK
5630,BrF,7750,2534,26/07/2017,07,2017,08:35,FeedingOffspring,6,60,0,2308,24,27174.66,27174.66,1,1,1,F,4923,1,CN,164,0,1,3,TRUE,CBC
5630,BrF,8027,2635,20/08/2018,08,2018,14:57,FeedingOffspring,8,60,0,2698,24,6386.19,6386.19,1,1,1,F,5168,1,CN,167,1,0,3,TRUE,CD
5634,BrF,6418,1234,13/02/2014,02,2014,08:07,FeedingOffspring,7,60,0,1157,165,17842.41,17842.41,1,1,1,F,2819,1,CN,124,0,1,3,TRUE,HE
5634,BrF,7123,1572,14/09/2015,09,2015,07:49,FeedingOffspring,11,60,0,1735,165,49792.99,49792.99,1,1,1,F,3609,3,CN,142,0,2,4,TRUE,SRP
