BirdID,Status,SexEstimate,BreedGroupID,NestWatchID,WatchDate,Month,Year,StartTime,Behaviour,ProvisioningVisit,ObsDuration,Age,TerritoryID,TQ,TQcorrected,ClutchSize,BroodSize,NoFledglings,WatchType,NestNumber,Island,FieldPeriodID,Accurate,HelperNumber,AdditionalBirds,GroupSize
1869,BrM,1,5048,835,06/09/2010,9,2010,11:26,Feeding_Offspring,22,60,2587,154,9998.07,9998.07,1,1,1,FI,1,CN,104,TRUE,0,1,3
5324,BrF,0,5048,835,06/09/2010,9,2010,11:26,Feeding_Offspring,10,60,555,154,9998.07,9998.07,1,1,1,FI,1,CN,104,TRUE,0,1,3
1499,BrM,1,4965,838,26/08/2010,8,2010,08:02,Feeding_Offspring,9,60,4032,9,25305.22,25305.22,1,1,1,F,2,CN,104,TRUE,0,1,3
1826,BrF,0,4965,838,26/08/2010,8,2010,08:02,Feeding_Offspring,10,60,2574,9,25305.22,25305.22,1,1,1,F,2,CN,104,TRUE,0,1,3
5168,BrF,0,5009,839,26/08/2010,8,2010,10:06,Feeding_Offspring,6,60,1038,74,13877.7,13877.7,1,1,1,FI,1,CN,104,TRUE,1,0,3
2988,BrM,1,4969,840,06/09/2010,9,2010,08:46,Feeding_Offspring,7,60,2374,14,17585.28,17585.28,1,1,0,F,2,CN,104,TRUE,0,0,2
5284,BrF,0,4969,840,06/09/2010,9,2010,08:46,Feeding_Offspring,15,60,666,14,17585.28,17585.28,1,1,0,F,2,CN,104,TRUE,0,0,2
1716,BrF,0,5083,849,06/08/2011,8,2011,08:08,Feeding_Offspring,16,60,3304,173,27315.92,27315.92,1,1,1,F,1,CN,105,TRUE,0,1,3
4892,BrM,1,5083,849,06/08/2011,8,2011,08:08,Feeding_Offspring,13,60,1818,173,27315.92,27315.92,1,1,1,F,1,CN,105,TRUE,0,1,3
5321,BrM,1,5084,850,06/08/2011,8,2011,16:13,Feeding_Offspring,14,60,871,57,47704.53,47704.53,1,1,1,F,1,CN,105,TRUE,0,0,2
5514,BrF,0,5084,850,06/08/2011,8,2011,16:13,Feeding_Offspring,16,60,631,57,47704.53,47704.53,1,1,1,F,1,CN,105,TRUE,0,0,2
